Model_type, typecode, typecodes, total loss, kl_loss, MSE 
CVAE_ONNX, A320, -3112.465087890625, 136.99578857421875, 0.012317075093587239
CVAE_ONNX, B738, -2984.237548828125, 135.48397827148438, 0.019124900817871094
CVAE_ONNX, A321, -3028.435546875, 139.75601196289062, 0.01658152172687572
CVAE_ONNX, A319, -3059.517822265625, 134.39657592773438, 0.015231760570983662
CVAE_ONNX, A20N, -2891.8076171875, 135.96304321289062, 0.0239498219591506
CVAE_ONNX, A21N, -2597.662841796875, 141.15695190429688, 0.03911194323592015
VAE_ONNX, A320, -1452.8623046875, 65.68115234375, 0.9890651573129252
VAE_ONNX, B738, -2692.536865234375, 120.57270812988281, 0.038351620992024736
VAE_ONNX, A321, -2316.91845703125, 105.01953125, 0.10616917329676011
VAE_ONNX, A319, -2302.38916015625, 103.9574203491211, 0.10258169272511276
VAE_ONNX, A20N, -2156.1005859375, 129.2495574951172, 0.11739217599571895
VAE_ONNX, A21N, -1758.078369140625, 57.650936126708984, 0.4998246837797619
