Model file, Data file, Dataset Typecodes, Selected Typecode, Total loss, KL, log likelihood, MSE, test 
data_orly/src/generation/models/saved_weights/limited_one_typecode/A320_A321/100/VAE_A321_all.pth, data_orly/data/sampled_data/combined_data/A320_A321_all.pkl, ['A321'] ,A321, -1517.9906005859375, 50.00259017944336, -1467.9880104064941, 0.9280695329632676, False 
data_orly/src/generation/models/saved_weights/limited_one_typecode/A320_A321/100/VAE_A320_lim.pth, data_orly/data/sampled_data/combined_data/A320_A321_all.pkl, ['A320'] ,A320, -2036.7042236328125, 69.8853988647461, -1966.8188247680664, 0.23920671191596612, False 
data_orly/src/generation/models/saved_weights/limited_one_typecode/A320_A321/100/VAE_A320_lim.pth, data_orly/data/sampled_data/combined_data/A320_A321_all.pkl, ['A320'] ,A320, -1351.7994384765625, 119.2576904296875, -1232.541748046875, 0.5687162427854617, True 
data_orly/src/generation/models/saved_weights/limited_one_typecode/A320_A321/100/CVAE_both_A320_A321_all.pth, data_orly/data/sampled_data/combined_data/A320_A321_all.pkl, ['A320', 'A321'] ,A320, -2006.3231201171875, 69.85194396972656, -1936.471176147461, 0.24769424230266965, False 
data_orly/src/generation/models/saved_weights/limited_one_typecode/A320_A321/100/CVAE_both_A320_A321_all.pth, data_orly/data/sampled_data/combined_data/A320_A321_all.pkl, ['A320', 'A321'] ,A320, -1886.81689453125, 80.79544830322266, -1806.0214462280273, 0.3421714643075343, True 
data_orly/src/generation/models/saved_weights/limited_one_typecode/A320_A321/100/CVAE_both_A320_A321_all.pth, data_orly/data/sampled_data/combined_data/A320_A321_all.pkl, ['A320', 'A321'] ,A321, -1701.071044921875, 81.7165298461914, -1619.3545150756836, 0.5030167191116898, False 
data_orly/src/generation/models/saved_weights/limited_one_typecode/A320_A321/100/VAE_A321_all.pth, data_orly/data/sampled_data/combined_data/A320_A321_all.pkl, ['A321'] ,A321, -1514.134033203125, 50.16994094848633, -1463.9640922546387, 0.9361914919133771, False 
data_orly/src/generation/models/saved_weights/limited_one_typecode/A320_A321/100/VAE_A320_lim.pth, data_orly/data/sampled_data/combined_data/A320_A321_all.pkl, ['A320'] ,A320, -2039.1671142578125, 70.61661529541016, -1968.5504989624023, 0.23755086560463115, False 
data_orly/src/generation/models/saved_weights/limited_one_typecode/A320_A321/100/VAE_A320_lim.pth, data_orly/data/sampled_data/combined_data/A320_A321_all.pkl, ['A320'] ,A320, -1380.9739990234375, 119.63241577148438, -1261.3415832519531, 0.5533956061187084, True 
data_orly/src/generation/models/saved_weights/limited_one_typecode/A320_A321/100/VAE_A320_lim.pth, data_orly/data/sampled_data/combined_data/A320_A321_all.pkl, ['A320'] ,A320, -2039.2479248046875, 70.33951568603516, -1968.9084091186523, 0.23765244214390685, False 
data_orly/src/generation/models/saved_weights/limited_one_typecode/A320_A321/100/VAE_A320_lim.pth, data_orly/data/sampled_data/combined_data/A320_A321_all.pkl, ['A320'] ,A320, -1367.0245361328125, 118.44461822509766, -1248.5799179077148, 0.5612440061648555, True 
data_orly/src/generation/models/saved_weights/limited_one_typecode/A320_A321/100/VAE_A320_lim.pth, data_orly/data/sampled_data/combined_data/A320_A321_all.pkl, ['A320'] ,A320, -2036.729248046875, 70.33468627929688, -1966.3945617675781, 0.23896093535841556, False 
data_orly/src/generation/models/saved_weights/limited_one_typecode/A320_A321/100/VAE_A320_lim.pth, data_orly/data/sampled_data/combined_data/A320_A321_all.pkl, ['A320'] ,A320, -1373.0400390625, 120.38433074951172, -1252.6557083129883, 0.5571193599859608, True 
data_orly/src/generation/models/saved_weights/limited_one_typecode/A320_A321/100/VAE_A320_lim.pth, data_orly/data/sampled_data/combined_data/A320_A321_all.pkl, ['A320'] ,A320, -2039.520263671875, 69.99150848388672, -1969.5287551879883, 0.2376917937578049, False 
data_orly/src/generation/models/saved_weights/limited_one_typecode/A320_A321/100/VAE_A320_lim.pth, data_orly/data/sampled_data/combined_data/A320_A321_all.pkl, ['A320'] ,A320, -1374.8056640625, 118.68201446533203, -1256.123649597168, 0.5570865573978265, True 
data_orly/src/generation/models/saved_weights/limited_one_typecode/A320_A321/100/VAE_A320_lim.pth, data_orly/data/sampled_data/combined_data/A320_A321_all.pkl, ['A320'] ,A320, -2036.8472900390625, 70.33805847167969, -1966.5092315673828, 0.23889801144367537, False 
data_orly/src/generation/models/saved_weights/limited_one_typecode/A320_A321/100/VAE_A320_lim.pth, data_orly/data/sampled_data/combined_data/A320_A321_all.pkl, ['A320'] ,A320, -1392.521728515625, 119.94319152832031, -1272.5785369873047, 0.5472472027415245, True 
data_orly/src/generation/models/saved_weights/limited_one_typecode/A320_A321/100/VAE_A320_lim.pth, data_orly/data/sampled_data/combined_data/A320_A321_all.pkl, ['A320'] ,A320, -2036.6971435546875, 70.43569946289062, -1966.2614440917969, 0.2389251530519006, False 
data_orly/src/generation/models/saved_weights/limited_one_typecode/A320_A321/100/VAE_A320_lim.pth, data_orly/data/sampled_data/combined_data/A320_A321_all.pkl, ['A320'] ,A320, 47462.5, 879.6259765625, 48342.1259765625, 25.48361587524414, True 
data_orly/src/generation/models/saved_weights/limited_one_typecode/A320_A321/100/VAE_A320_lim.pth, data_orly/data/sampled_data/combined_data/A320_A321_all.pkl, ['A320'] ,A320, -2037.682373046875, 70.30642700195312, -1967.3759460449219, 0.23848136916727583, False 
data_orly/src/generation/models/saved_weights/limited_one_typecode/A320_A321/100/VAE_A320_lim.pth, data_orly/data/sampled_data/combined_data/A320_A321_all.pkl, ['A320'] ,A320, -1697.8463134765625, 116.44595336914062, -1581.4003601074219, 0.39075647606522196, True 
data_orly/src/generation/models/saved_weights/limited_one_typecode/A320_A321/100/VAE_A320_lim.pth, data_orly/data/sampled_data/combined_data/A320_A321_all.pkl, ['A320'] ,A320, -2039.5985107421875, 70.4415512084961, -1969.1569595336914, 0.2374178345440424, False 
data_orly/src/generation/models/saved_weights/limited_one_typecode/A320_A321/100/VAE_A320_lim.pth, data_orly/data/sampled_data/combined_data/A320_A321_all.pkl, ['A320'] ,A320, -1690.017578125, 115.99937438964844, -1574.0182037353516, 0.3950470328530674, True 
data_orly/src/generation/models/saved_weights/limited_one_typecode/A320_A321/100/CVAE_both_A320_A321_all.pth, data_orly/data/sampled_data/combined_data/A320_A321_all.pkl, ['A320', 'A321'] ,A320, -2005.3653564453125, 69.71936798095703, -1935.6459884643555, 0.24864286010028325, False 
data_orly/src/generation/models/saved_weights/limited_one_typecode/A320_A321/100/CVAE_both_A320_A321_all.pth, data_orly/data/sampled_data/combined_data/A320_A321_all.pkl, ['A320', 'A321'] ,A320, -1888.3731689453125, 80.83137512207031, -1807.5417938232422, 0.340785885015859, True 
data_orly/src/generation/models/saved_weights/limited_one_typecode/A320_A321/100/CVAE_both_A320_A321_all.pth, data_orly/data/sampled_data/combined_data/A320_A321_all.pkl, ['A320', 'A321'] ,A321, -1691.240966796875, 81.21233367919922, -1610.0286331176758, 0.5120102434362817, False 
data_orly/src/generation/models/saved_weights/limited_one_typecode/A320_A321/100/VAE_A320_lim.pth, data_orly/data/sampled_data/combined_data/A320_A321_all.pkl, ['A320'] ,A320, -1397.53369140625, 115.703125, -1281.83056640625, 0.5919289393731725, False 
data_orly/src/generation/models/saved_weights/limited_one_typecode/A320_A321/100/VAE_A320_lim.pth, data_orly/data/sampled_data/combined_data/A320_A321_all.pkl, ['A320'] ,A320, -1384.1663818359375, 115.94670867919922, -1268.2196731567383, 0.5996751641508323, True 
data_orly/src/generation/models/saved_weights/limited_one_typecode/A320_A321/100/VAE_A320_lim.pth, data_orly/data/sampled_data/combined_data/A320_A321_all.pkl, ['A320'] ,A320, -1401.647705078125, 116.78087615966797, -1284.866828918457, 0.5888646294963755, False 
data_orly/src/generation/models/saved_weights/limited_one_typecode/A320_A321/100/VAE_A320_lim.pth, data_orly/data/sampled_data/combined_data/A320_A321_all.pkl, ['A320'] ,A320, -1367.281005859375, 116.75713348388672, -1250.5238723754883, 0.6091631660908711, True 
data_orly/src/generation/models/saved_weights/limited_one_typecode/A320_A321/100/VAE_A321_all.pth, data_orly/data/sampled_data/combined_data/A320_A321_all4.pkl, ['A321'] ,A321, -1795.8350830078125, 73.48001861572266, -1722.3550643920898, 0.43227152982418066, False 
data_orly/src/generation/models/saved_weights/limited_one_typecode/A320_A321/100/CVAE_both_A320_A321_all4.pth, data_orly/data/sampled_data/combined_data/A320_A321_all4.pkl, ['A320', 'A321'] ,A320, -2007.5240478515625, 60.59235763549805, -1946.9316902160645, 0.26317562229684455, False 
data_orly/src/generation/models/saved_weights/limited_one_typecode/A320_A321/100/CVAE_both_A320_A321_all4.pth, data_orly/data/sampled_data/combined_data/A320_A321_all4.pkl, ['A320', 'A321'] ,A320, -1973.9737548828125, 66.05489349365234, -1907.9188613891602, 0.284748299546329, True 
data_orly/src/generation/models/saved_weights/limited_one_typecode/A320_A321/100/CVAE_both_A320_A321_all4.pth, data_orly/data/sampled_data/combined_data/A320_A321_all4.pkl, ['A320', 'A321'] ,A321, -1777.404296875, 66.98819732666016, -1710.4160995483398, 0.43500594646610014, False 
data_orly/src/generation/models/saved_weights/limited_one_typecode/A320_A321/100/VAE_A321_all.pth, data_orly/data/sampled_data/combined_data/A320_A321_all4.pkl, ['A321'] ,A321, -1784.6427001953125, 73.63750457763672, -1711.0051956176758, 0.4425160071538438, False 
data_orly/src/generation/models/saved_weights/limited_one_typecode/A320_A321/100/CVAE_both_A320_A321_all4.pth, data_orly/data/sampled_data/combined_data/A320_A321_all4.pkl, ['A320', 'A321'] ,A320, -2005.348876953125, 60.118900299072266, -1945.2299766540527, 0.2652097110859832, False 
data_orly/src/generation/models/saved_weights/limited_one_typecode/A320_A321/100/CVAE_both_A320_A321_all4.pth, data_orly/data/sampled_data/combined_data/A320_A321_all4.pkl, ['A320', 'A321'] ,A320, -1975.9910888671875, 66.30158996582031, -1909.6894989013672, 0.2830093053732061, True 
data_orly/src/generation/models/saved_weights/limited_one_typecode/A320_A321/100/CVAE_both_A320_A321_all4.pth, data_orly/data/sampled_data/combined_data/A320_A321_all4.pkl, ['A320', 'A321'] ,A321, -1769.5947265625, 67.07656860351562, -1702.5181579589844, 0.4409361722176535, False 
data_orly/src/generation/models/saved_weights/limited_one_typecode/A320_A321/100/VAE_A321_all.pth, data_orly/data/sampled_data/combined_data/A320_A321_all4.pkl, ['A321'] ,A321, -1785.224853515625, 73.50067138671875, -1711.7241821289062, 0.4421025921262031, False 
data_orly/src/generation/models/saved_weights/limited_one_typecode/A320_A321/100/VAE_A320_lim.pth, data_orly/data/sampled_data/combined_data/A320_A321_all.pkl, ['A320'] ,A320, -2026.458251953125, 70.63844299316406, -1955.819808959961, 0.2469299494871619, False 
data_orly/src/generation/models/saved_weights/limited_one_typecode/A320_A321/100/VAE_A320_lim.pth, data_orly/data/sampled_data/combined_data/A320_A321_all.pkl, ['A320'] ,A320, -1767.4625244140625, 90.31853485107422, -1677.1439895629883, 0.38442533100070664, True 
